corrupt_found,axis,optimal,random,method,dataset,noise_rate,model
0.78,0.7142857142857143,1.0,0.7142857142857143,RandomEvaluator(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.8,0.7619047619047619,1.0,0.7619047619047619,RandomEvaluator(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.88,0.8095238095238095,1.0,0.8095238095238095,RandomEvaluator(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.9,0.8571428571428571,1.0,0.8571428571428571,RandomEvaluator(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.94,0.9047619047619048,1.0,0.9047619047619048,RandomEvaluator(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
1.0,0.9523809523809523,1.0,0.9523809523809523,RandomEvaluator(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,0.0,0.0,0.0,InfluenceSubsample(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.02,0.047619047619047616,0.9523809523809523,0.047619047619047616,InfluenceSubsample(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.08,0.09523809523809523,1.0,0.09523809523809523,InfluenceSubsample(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.12,0.14285714285714285,1.0,0.14285714285714285,InfluenceSubsample(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.16,0.19047619047619047,1.0,0.19047619047619047,InfluenceSubsample(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.2,0.23809523809523808,1.0,0.23809523809523808,InfluenceSubsample(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.24,0.2857142857142857,1.0,0.2857142857142857,InfluenceSubsample(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.28,0.3333333333333333,1.0,0.3333333333333333,InfluenceSubsample(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
