nr_hidden_layers,hidden_layer_size,learning_rate,batch_size,activation_function,mse
1,130,0.01,full,Tanh(),16.70923261642456
1,130,0.01,full,Sigmoid(),97.59225883483887
1,130,0.1,full,ReLU(),764.8505206298828
1,130,0.1,full,Tanh(),28.683980598449708
1,130,0.1,full,Sigmoid(),19.968325972557068
1,140,0.001,full,ReLU(),325970.4338446045
1,140,0.001,full,Tanh(),553.83521484375
1,140,0.001,full,Sigmoid(),649.0917071533203
1,140,0.01,full,ReLU(),1235793.4677630616
1,140,0.01,full,Tanh(),22.138491611480713
1,140,0.01,full,Sigmoid(),73.91443454742432
1,140,0.1,full,ReLU(),761.9103228759766
1,140,0.1,full,Tanh(),21.880856590270994
1,140,0.1,full,Sigmoid(),25.295149936676026
1,150,0.001,full,ReLU(),385250.94285583496
1,150,0.001,full,Tanh(),531.5486795043945
1,150,0.001,full,Sigmoid(),644.3484332275391
1,150,0.01,full,ReLU(),1282593.3863876343
1,150,0.01,full,Tanh(),27.07346382141113
1,150,0.01,full,Sigmoid(),60.52635593414307
1,150,0.1,full,ReLU(),762.6114575195312
1,150,0.1,full,Tanh(),14.569539904594421
1,150,0.1,full,Sigmoid(),26.794052448272705
1,160,0.001,full,ReLU(),308966.27922332764
1,160,0.001,full,Tanh(),521.0516885375977
1,160,0.001,full,Sigmoid(),633.1300189208985
1,160,0.01,full,ReLU(),1689208.692449951
1,160,0.01,full,Tanh(),31.44759328842163
1,160,0.01,full,Sigmoid(),47.59270481109619
1,160,0.1,full,ReLU(),761.4969006347657
1,160,0.1,full,Tanh(),12.487927808761597
1,160,0.1,full,Sigmoid(),25.39239517211914
1,170,0.001,full,ReLU(),361002.16349731444
1,170,0.001,full,Tanh(),508.6397259521484
1,170,0.001,full,Sigmoid(),626.3554113769532
1,170,0.01,full,ReLU(),1879020.4008764648
1,170,0.01,full,Tanh(),34.240713138580325
1,170,0.01,full,Sigmoid(),36.95347338676453
1,170,0.1,full,ReLU(),762.0419763183594
1,170,0.1,full,Tanh(),16.604987845420837
1,170,0.1,full,Sigmoid(),22.32042163848877
1,180,0.001,full,ReLU(),360783.4195516968
1,180,0.001,full,Tanh(),500.7984240722656
1,180,0.001,full,Sigmoid(),622.8097302246093
1,180,0.01,full,ReLU(),1773680.4146533203
1,180,0.01,full,Tanh(),35.56995515823364
1,180,0.01,full,Sigmoid(),25.986812744140625
