config,accuracy,r2_score
"(1, 40, 0.001, 128, ReLU())",0.0,0.31739165054427254
"(1, 40, 0.001, 128, Tanh())",0.0,0.38985517289903426
"(1, 40, 0.001, 128, Sigmoid())",0.0,0.20927775899569193
"(1, 40, 0.01, 32, ReLU())",0.01450000036533715,0.5774105158117082
"(1, 40, 0.01, 32, Tanh())",0.0,0.6204892430040572
"(1, 40, 0.01, 32, Sigmoid())",0.0,0.5727680491076576
"(1, 40, 0.01, 64, ReLU())",0.010055556181921728,0.6005420519245995
"(1, 40, 0.01, 64, Tanh())",0.0,0.6009653574890561
"(1, 40, 0.01, 64, Sigmoid())",0.0,0.5671065416600969
"(1, 40, 0.01, 128, ReLU())",0.003222222388204601,0.5846997565693326
"(1, 40, 0.01, 128, Tanh())",0.0,0.56899427374204
"(1, 40, 0.01, 128, Sigmoid())",0.0,0.5271707110934787
"(1, 40, 0.1, 32, ReLU())",0.1587777862829777,0.47484560476409066
"(1, 40, 0.1, 32, Tanh())",0.006777778106172466,0.48195312089390224
"(1, 40, 0.1, 32, Sigmoid())",0.0014444445001168384,0.6440357400311364
"(1, 40, 0.1, 64, ReLU())",0.15483334057757425,0.5528527266449399
"(1, 40, 0.1, 64, Tanh())",0.0046111114012698335,0.5663937098450131
"(1, 40, 0.1, 64, Sigmoid())",5.555555819430285e-05,0.6320211291313171
"(1, 40, 0.1, 128, ReLU())",0.09088889420187722,0.5055142475499047
"(1, 40, 0.1, 128, Tanh())",0.0,0.57118601931466
"(1, 40, 0.1, 128, Sigmoid())",0.0,0.5282176401880052
"(1, 50, 0.001, 32, ReLU())",0.0001111111163886057,0.5238587723837959
"(1, 50, 0.001, 32, Tanh())",0.0,0.5408040086428324
"(1, 50, 0.001, 32, Sigmoid())",0.0,0.40534012185202706
"(1, 50, 0.001, 64, ReLU())",0.0001111111163886057,0.4761747552288903
"(1, 50, 0.001, 64, Tanh())",0.0,0.5008174346552955
"(1, 50, 0.001, 64, Sigmoid())",0.0,0.3333630363146464
"(1, 50, 0.001, 128, ReLU())",0.0,0.3565179573165046
"(1, 50, 0.001, 128, Tanh())",0.0,0.41333868106206256
"(1, 50, 0.001, 128, Sigmoid())",0.0,0.21796221203274196
"(1, 50, 0.01, 32, ReLU())",0.015388889367588691,0.5763184693124559
"(1, 50, 0.01, 32, Tanh())",0.0,0.6465785172250536
"(1, 50, 0.01, 32, Sigmoid())",0.0,0.5693803562058343
"(1, 50, 0.01, 64, ReLU())",0.015277778484030731,0.5774224268065559
"(1, 50, 0.01, 64, Tanh())",0.0,0.6014363798830245
"(1, 50, 0.01, 64, Sigmoid())",0.0,0.5446302129162682
"(1, 50, 0.01, 128, ReLU())",0.006611111399251968,0.613479259941313
"(1, 50, 0.01, 128, Tanh())",0.0,0.5663089156150818
"(1, 50, 0.01, 128, Sigmoid())",0.0,0.5084942347473569
"(1, 50, 0.1, 32, ReLU())",0.19250000826367694,0.3617727988296085
"(1, 50, 0.1, 32, Tanh())",0.01427777846240335,0.4830130868487888
"(1, 50, 0.1, 32, Sigmoid())",0.002722222332118286,0.6659209132194519
"(1, 50, 0.1, 64, ReLU())",0.16238889650493446,0.49341830611228943
"(1, 50, 0.1, 64, Tanh())",0.003944444592990395,0.591719776391983
"(1, 50, 0.1, 64, Sigmoid())",0.00016666666811539067,0.6203934318489499
"(1, 50, 0.1, 128, ReLU())",0.12244445093286534,0.1631852024131351
"(1, 50, 0.1, 128, Tanh())",5.555555819430285e-05,0.563535624080234
"(1, 50, 0.1, 128, Sigmoid())",0.0,0.5448136462105645
"(1, 60, 0.001, 32, ReLU())",0.0003333333491658171,0.5490000744660696
"(1, 60, 0.001, 32, Tanh())",0.0,0.5457703305615319
"(1, 60, 0.001, 32, Sigmoid())",0.0,0.4260454409652286
"(1, 60, 0.001, 64, ReLU())",5.555555819430285e-05,0.5012347532643212
"(1, 60, 0.001, 64, Tanh())",0.0,0.5048938393592834
"(1, 60, 0.001, 64, Sigmoid())",0.0,0.33085620072152877
"(1, 60, 0.001, 128, ReLU())",0.0001111111163886057,0.3991188704967499
"(1, 60, 0.001, 128, Tanh())",0.0,0.43205880456500584
"(1, 60, 0.001, 128, Sigmoid())",0.0,0.22953882813453674
"(1, 60, 0.01, 32, ReLU())",0.020166667449908953,0.6111445526281992
"(1, 60, 0.01, 32, Tanh())",0.0,0.6453680959012773
"(1, 60, 0.01, 32, Sigmoid())",0.0,0.5703988174597422
"(1, 60, 0.01, 64, ReLU())",0.011222222509483496,0.5910714467366537
"(1, 60, 0.01, 64, Tanh())",0.0,0.6019182205200195
"(1, 60, 0.01, 64, Sigmoid())",0.0,0.5384146008226607
"(1, 60, 0.01, 128, ReLU())",0.006222222414281633,0.5912528700298734
"(1, 60, 0.01, 128, Tanh())",0.0,0.5805111361874474
"(1, 60, 0.01, 128, Sigmoid())",0.0,0.5045416090223525
"(1, 60, 0.1, 32, ReLU())",0.21866667233148795,0.3753718203968472
"(1, 60, 0.1, 32, Tanh())",0.016222222811645932,0.4536120096842448
"(1, 60, 0.1, 32, Sigmoid())",0.006277777972475936,0.5886703431606293
"(1, 60, 0.1, 64, ReLU())",0.15766667396140596,0.4903844992319743
"(1, 60, 0.1, 64, Tanh())",0.005444444754781823,0.5743563506338332
"(1, 60, 0.1, 64, Sigmoid())",0.0,0.5921521683533987
"(1, 60, 0.1, 128, ReLU())",0.10588889494020906,0.14294796188672385
"(1, 60, 0.1, 128, Tanh())",0.0005000000302162436,0.5604966382185618
"(1, 60, 0.1, 128, Sigmoid())",0.0,0.5350551207860311
"(1, 70, 0.001, 32, ReLU())",0.00016666667458290854,0.5477061437235938
"(1, 70, 0.001, 32, Tanh())",0.0,0.5449777907795377
"(1, 70, 0.001, 32, Sigmoid())",0.0,0.4217871493763394
"(1, 70, 0.001, 64, ReLU())",0.0001111111163886057,0.5015913413630592
"(1, 70, 0.001, 64, Tanh())",0.0,0.5198168191644881
