Dataset,MSE,R2,mode
kin8nm,0.37810710072517395,0.6218485832214355,normal
kin8nm,0.2716595232486725,0.7283086776733398,weighted
kin8nm,0.3482239842414856,0.6410338878631592,normal
kin8nm,0.2730683982372284,0.7185079455375671,weighted
kin8nm,0.3356078565120697,0.6834904551506042,normal
kin8nm,0.2584025263786316,0.7563022971153259,weighted
kin8nm,0.3358062207698822,0.6675283908843994,normal
kin8nm,0.3589470684528351,0.6446173787117004,weighted
kin8nm,0.3642382025718689,0.6289840340614319,normal
kin8nm,0.43853285908699036,0.5533068776130676,weighted
white_wine,0.9970434308052063,-0.005381107330322266,normal
white_wine,0.9072290062904358,0.08518445491790771,weighted
white_wine,1.029744267463684,-0.03622794151306152,normal
white_wine,0.8349413275718689,0.15980154275894165,weighted
white_wine,1.0858790874481201,-0.07937657833099365,normal
white_wine,0.8307275176048279,0.17424708604812622,weighted
white_wine,1.094720721244812,-0.12265944480895996,normal
white_wine,0.8087266087532043,0.17063355445861816,weighted
white_wine,1.06221342086792,-0.09108054637908936,normal
white_wine,1.1361750364303589,-0.16705214977264404,weighted
cpu_activity,0.13689830899238586,0.8632475137710571,normal
cpu_activity,0.06744671612977982,0.9326251745223999,weighted
cpu_activity,0.11553981155157089,0.8806936740875244,normal
cpu_activity,0.16060562431812286,0.8341587781906128,weighted
cpu_activity,0.175364688038826,0.8087620735168457,normal
cpu_activity,0.164963036775589,0.8201051950454712,weighted
cpu_activity,0.26065531373023987,0.7522497177124023,normal
cpu_activity,0.07553935796022415,0.9282006025314331,weighted
cpu_activity,0.22442010045051575,0.777784526348114,normal
cpu_activity,0.16467328369617462,0.8369444012641907,weighted
pumadyn32nh,0.6553748250007629,0.33890265226364136,normal
pumadyn32nh,0.8659315705299377,0.12650740146636963,weighted
pumadyn32nh,0.6452232003211975,0.3371043801307678,normal
pumadyn32nh,0.651723325252533,0.3304262161254883,weighted
pumadyn32nh,0.7174522876739502,0.3004720211029053,normal
pumadyn32nh,0.7125966548919678,0.3052063584327698,weighted
pumadyn32nh,0.6631715893745422,0.340013325214386,normal
pumadyn32nh,0.8035266995429993,0.20033234357833862,weighted
pumadyn32nh,0.6992047429084778,0.29288220405578613,normal
pumadyn32nh,0.7155523300170898,0.27634960412979126,weighted
wave_energy,0.1564590036869049,0.8397762775421143,normal
wave_energy,0.10679461807012558,0.8906357288360596,weighted
wave_energy,0.15195247530937195,0.8534963726997375,normal
wave_energy,0.0864921286702156,0.9166094064712524,weighted
wave_energy,0.15302668511867523,0.849315881729126,normal
wave_energy,0.10162406414747238,0.8999316096305847,weighted
wave_energy,0.1534978598356247,0.8495413661003113,normal
wave_energy,0.07656756788492203,0.9249484539031982,weighted
wave_energy,0.15470175445079803,0.8421885967254639,normal
wave_energy,0.09511025995016098,0.9029779434204102,weighted
superconductivity,0.31864994764328003,0.6713013052940369,normal
superconductivity,0.4406178295612335,0.545487105846405,weighted
superconductivity,0.3245016932487488,0.6743578910827637,normal
superconductivity,0.45380687713623047,0.5445983409881592,weighted
superconductivity,0.5320643186569214,0.47645503282546997,normal
superconductivity,0.600754976272583,0.40886420011520386,weighted
superconductivity,0.277386337518692,0.7127156257629395,normal
superconductivity,0.6308709979057312,0.3466174602508545,weighted
superconductivity,0.2935018241405487,0.7102087736129761,normal
superconductivity,0.6928857564926147,0.31587404012680054,weighted
