Dataset,MSE,R2,mode
superconductivity,0.2019982635974884,0.7931342124938965,normal
superconductivity,0.37140563130378723,0.6196446418762207,weighted
superconductivity,0.25081729888916016,0.7549651861190796,normal
superconductivity,0.49160799384117126,0.5197257995605469,weighted
superconductivity,0.20321565866470337,0.7934540510177612,normal
superconductivity,0.4285851716995239,0.5643912553787231,weighted
superconductivity,0.21472269296646118,0.7747581005096436,normal
superconductivity,0.4845310151576996,0.49173200130462646,weighted
superconductivity,0.25056377053260803,0.7424540519714355,normal
superconductivity,0.9145647883415222,0.059950053691864014,weighted
superconductivity,0.23115627467632294,0.7741982340812683,normal
superconductivity,0.5612837672233582,0.451717734336853,weighted
superconductivity,0.20929472148418427,0.7953016757965088,normal
superconductivity,0.3592604994773865,0.6486293077468872,weighted
